,Zip,ds,yhat,yhat_lower,yhat_upper
299,42003,2020-12-31,1.0329911162754142,1.004114217466547,1.0620914384532374
299,68506,2020-12-31,1.0576691477795401,1.0413702644605773,1.073162868411707
299,95820,2020-12-31,1.126750513692857,1.0670937233815483,1.18131236286043
299,29680,2020-12-31,1.0566865862110528,1.0378366528506158,1.0745843402815434
299,11779,2020-12-31,1.0417529530963798,1.0084092070336592,1.0770843123180647
299,33317,2020-12-31,1.0735004731600766,1.0011451038264911,1.1443826075130406
299,89511,2020-12-31,1.0731296143367801,1.0103157534155083,1.136097441679059
299,98290,2020-12-31,1.0934249292010605,1.056472476078235,1.131076241055998
299,27455,2020-12-31,1.0253671519891152,0.9989100984548761,1.047896748767347
299,29550,2020-12-31,1.0789907297121866,1.0562758703835242,1.1014381749135775
299,92270,2020-12-31,0.996343928301347,0.9138044900761225,1.0641508018961272
299,48237,2020-12-31,1.1061744751669291,1.068537462986999,1.145042268356283
299,46201,2020-12-31,1.0966047756922608,1.0479643664850857,1.1455030199575433
299,58501,2020-12-31,0.9825353082253939,0.9544794481353803,1.0134134149666578
299,33770,2020-12-31,1.0799088742827834,1.0299773287667109,1.133522787073488
299,61821,2020-12-31,1.0067156433049764,0.9869755136125513,1.02384496350862
299,60532,2020-12-31,1.040284858993031,1.0112447270183615,1.0771857403638971
299,34689,2020-12-31,1.076655799958654,1.0254070603917802,1.1303249721374489
299,43220,2020-12-31,1.0424200530332053,1.0270152770704597,1.058587881137544
299,83440,2020-12-31,1.0962048732105498,1.0670761931919683,1.1245453635818712
299,32080,2020-12-31,1.0726743901010802,1.0044125399887907,1.1353703373791668
299,55404,2020-12-31,1.0758980650181178,1.0390553288721651,1.115375068639361
299,29640,2020-12-31,1.043927405182062,1.020440939437331,1.0661410260498716
299,95351,2020-12-31,1.0928181955869698,1.0489418748768755,1.1371619811029714
299,95407,2020-12-31,1.1322076659629248,1.0720413639799178,1.1948533357281466
299,96813,2020-12-31,1.0809410423041523,1.0391832029340136,1.1308488702350368
299,43040,2020-12-31,1.0477899776813087,1.0295284004373724,1.0631192116914951
299,21144,2020-12-31,1.0211380109435941,0.955258309907136,1.0769823043494737
299,31204,2020-12-31,1.0058081918699697,0.969261477848376,1.0441377701456718
299,11105,2020-12-31,1.1309629795995984,1.0947649380847886,1.1657678126752455
299,96080,2020-12-31,0.985170654181137,0.9477542626286574,1.027246343930036
299,97355,2020-12-31,1.1247735151218952,1.0966059357622404,1.1527385161694526
299,44128,2020-12-31,1.0299053557607967,0.9607807339416299,1.107813419079948
