,Zip,ds,yhat,yhat_lower,yhat_upper
293,49021,2020-06-30,0.9877466309737042,0.973763780609407,1.0030143712804462
293,20685,2020-06-30,1.024805121082713,0.9942461123592358,1.054786220529021
293,1834,2020-06-30,1.0206080552151144,1.002478300364205,1.0387106628220484
293,43316,2020-06-30,1.0089364589618173,0.9971986244709344,1.0207722518418179
293,6510,2020-06-30,1.027939001185652,0.9896062846166406,1.063687690830897
293,65336,2020-06-30,1.022562279829926,1.0113366157117136,1.0354146924862986
293,33476,2020-06-30,1.0584805424789572,0.9911317198722603,1.1370654914791327
293,8886,2020-06-30,1.0121776953324313,0.9893536054910428,1.0340479000100873
293,93219,2020-06-30,1.040943922150861,1.0040614194990038,1.0780694351496445
293,62859,2020-06-30,1.0132282349800692,0.982947385270034,1.048005003509271
293,75684,2020-06-30,1.0269035859238038,1.0147651567061333,1.03819541641908
293,39483,2020-06-30,1.01766556994278,0.9983395962900756,1.034114601174484
293,61530,2020-06-30,1.017021183680596,1.0054261605782473,1.0274842641186093
293,83530,2020-06-30,1.0387377671242406,1.025984921409861,1.049539684395337
293,40729,2020-06-30,1.009886175994465,0.9946165815071427,1.0245086753970973
293,49057,2020-06-30,1.0156613017686946,0.9660985651410955,1.0663043412143645
293,28479,2020-06-30,1.0262039373690985,1.0069821962563368,1.0461713679620097
293,70339,2020-06-30,1.0105839730524346,0.9896803815431515,1.0301139532179557
293,22473,2020-06-30,1.0283205627612706,1.0130531634674231,1.04336383989987
293,30559,2020-06-30,1.0157870344637285,1.0012521373995993,1.030913736939379
293,31635,2020-06-30,1.031224294500812,1.0164883736712769,1.0471209736020688
293,19533,2020-06-30,1.0135660649066551,0.9975595636214203,1.03051156508026
293,31546,2020-06-30,1.0377610928904628,1.0273826300278546,1.047794595931606
293,42376,2020-06-30,1.0392285107458397,1.016557521825536,1.0608087105251645
293,78583,2020-06-30,1.041189799249813,0.9910395441807666,1.0899116134164122
293,64126,2020-06-30,0.9568514424968079,0.9188235930907352,0.9965206469323117
293,11507,2020-06-30,1.049165984966143,1.0331796966687332,1.0657049587106826
293,28018,2020-06-30,1.0161983289719447,1.0045914784053118,1.0269282210910955
293,42629,2020-06-30,0.981521741571652,0.9639262133406803,1.0047595864485506
293,77963,2020-06-30,1.0627360662965424,1.052864306796503,1.0722205251762806
293,48655,2020-06-30,1.0096711666862663,0.9567643597730705,1.0620341949889587
293,44730,2020-06-30,1.0116032561518187,0.9840463614910322,1.0375045881355187
293,75839,2020-06-30,1.013617449958697,1.0012102103475775,1.026061777934873
