,Zip,ds,yhat,yhat_lower,yhat_upper
293,46951,2020-06-30,1.0296446428774937,1.0179539071541954,1.0407435630342292
293,54627,2020-06-30,1.0380230263755181,1.0247155362151503,1.0513559919414146
293,12472,2020-06-30,0.9792752093586177,0.9420196538869485,1.0193633532557038
293,46166,2020-06-30,1.0595639203785985,1.0368222434106766,1.0808517977631233
293,55959,2020-06-30,1.039842840509544,1.0278214682591111,1.0504244709532433
293,64482,2020-06-30,1.0245876649114631,0.9685433063374905,1.0888728954172748
293,52046,2020-06-30,1.0214116338886758,1.0103842510592764,1.0327915526048652
293,29741,2020-06-30,1.04167167122778,1.0244243475744725,1.0589004145393142
293,16249,2020-06-30,1.0035164103250904,0.992490872852167,1.0147094338023592
293,12168,2020-06-30,0.984889022867185,0.9421366075657135,1.0319578364598858
293,96703,2020-06-30,0.9611264896549205,0.9226219812347572,1.000172844118736
293,35446,2020-06-30,0.9571635010683881,0.9132827215601573,0.9989095829430819
293,71439,2020-06-30,1.0147457393599053,0.9962888666585489,1.0323610522887408
293,60938,2020-06-30,1.0009613988079793,0.9751541409104456,1.0273211079216678
293,36525,2020-06-30,0.9951149383438547,0.9690954768562818,1.0212771277152652
293,15479,2020-06-30,0.9859539242969559,0.9445277599012496,1.0313996096839413
293,36759,2020-06-30,1.0501287453136934,1.0181942476936598,1.079875328418134
293,31827,2020-06-30,1.028610783104306,1.0045637429108754,1.0510987992172518
293,60602,2020-06-30,1.092720692191536,1.0289493600530693,1.158696410785478
293,12094,2020-06-30,0.9660925551947164,0.9302501023090768,0.9997859208562875
293,61376,2020-06-30,1.0116472372867302,0.9927512964213069,1.0302973954898254
293,80520,2020-06-30,1.0890613815760646,1.067201233285994,1.1114447052770422
293,35610,2020-06-30,1.0228569913549808,0.9747735847212986,1.0738489634676665
293,4108,2020-06-30,1.0218286888263706,0.9958379210704592,1.0502677730442331
293,79357,2020-06-30,1.006525121259118,0.9968770441542059,1.0176527427722182
293,54909,2020-06-30,1.0223412729361738,1.0029977104454446,1.0417193824409932
293,28689,2020-06-30,1.0282759880747179,0.994001871847663,1.062613885437048
293,59442,2020-06-30,1.0297438053740107,1.0047079409190882,1.0551774008630352
293,43164,2020-06-30,1.0067824618340016,0.9947983121190487,1.0176552067274665
293,47631,2020-06-30,1.0307666598893253,1.0232949967582783,1.0379109579909014
293,39561,2020-06-30,1.018538269128361,1.0064902516739629,1.0295111801911407
293,29052,2020-06-30,1.0243391360709302,0.9801349052646231,1.0659116446920356
293,54740,2020-06-30,1.0294177063429044,1.0133234376411662,1.0448385461951832
293,72840,2020-06-30,1.0380045432949145,1.0240971158600902,1.0516437895273478
293,74002,2020-06-30,0.9967772235840835,0.9781260699932677,1.0147321933181013
293,76701,2020-06-30,1.0548749517497056,1.0263491336414279,1.0832108747963225
293,54770,2020-06-30,1.0343069609875473,1.0190628101220136,1.0484680206146413
293,36509,2020-06-30,1.0645991535839363,0.9940474663776635,1.1343825408631054
293,42056,2020-06-30,1.0231481874057804,1.0109332169852292,1.0353559410390192
293,49885,2020-06-30,1.032982020537282,1.0141255749981786,1.0510995409967367
293,4910,2020-06-30,0.9603721245750987,0.905251136001801,1.0143853950042547
293,40468,2020-06-30,1.0033375802861706,0.9827357483061193,1.0228099225656384
293,41064,2020-06-30,1.0054283712667293,0.9758515396671151,1.038384621756184
293,66105,2020-06-30,0.9940666159612238,0.958022710868489,1.0276966645055656
293,38232,2020-06-30,1.0379645075694721,1.0227247434855529,1.05252764053116
293,24435,2020-06-30,1.0109510527173213,1.0006654910011885,1.0220710436822018
293,56540,2020-06-30,1.0247145690834056,0.9920084826170738,1.0560951122073858
293,36907,2020-06-30,1.0586909717683362,1.042876564110468,1.0760381050696448
293,54514,2020-06-30,1.040073875630603,1.0219528166956142,1.0573486427530474
293,59323,2020-06-30,1.0175385408509212,0.9419905670592972,1.0962371673539895
293,54026,2020-06-30,1.0219631666113405,1.0014283998490536,1.0409326728875585
293,44867,2020-06-30,1.008693870946676,0.9949128977712182,1.0212363089948486
293,71261,2020-06-30,0.9868078887214704,0.9391646671357566,1.036756348969185
293,78881,2020-06-30,1.0303928058707525,1.015102523165067,1.0449636898342543
293,16920,2020-06-30,1.0196559472433604,1.0081859404233806,1.031119387634732
293,57226,2020-06-30,1.0295946949389048,1.0103849530442537,1.0500716253150957
293,17830,2020-06-30,1.0171248628861773,1.0021994724810903,1.0313796135359419
293,76857,2020-06-30,1.0152390319290046,0.9951737296128271,1.0346436330274082
293,35089,2020-06-30,1.0083750595771765,0.9781886744789087,1.0369239542771969
293,17321,2020-06-30,1.0092386009539824,0.9926643520492467,1.028823559362958
293,70514,2020-06-30,1.021512682865442,0.9918515839177195,1.0505443148562699
293,78335,2020-06-30,0.9685321483896668,0.9313864154017117,1.0102179307146446
293,16881,2020-06-30,0.997730820981684,0.9784138297415038,1.0192624505354115
293,60034,2020-06-30,1.0374208418795594,1.0128234035497083,1.0616199712473313
293,86321,2020-06-30,1.0520718649045266,1.030609362689944,1.0745473755516892
293,55329,2020-06-30,1.033199169825319,1.0077207731127404,1.0585079128891626
293,24069,2020-06-30,1.0095373397544434,0.9934227371530225,1.0255787452115364
293,20197,2020-06-30,0.9914721761509594,0.9641374495462464,1.0158623099623258
293,79325,2020-06-30,1.0243187763911963,1.0095329514020757,1.038092285583027
293,15942,2020-06-30,1.0243012825542364,1.0011384985822627,1.0504611777169175
293,3580,2020-06-30,1.0450749211880053,1.0212102999868524,1.0674144104837056
293,56481,2020-06-30,1.0338422392880433,1.0203563502603585,1.0468093795628681
293,66076,2020-06-30,1.026668396964053,1.01548476715242,1.0382562477444046
293,39425,2020-06-30,1.0264150794314133,1.0022961450998606,1.050166655603125
293,46978,2020-06-30,1.0404797324443011,1.0231633900774446,1.0573053656972817
293,28508,2020-06-30,1.0671506309774268,1.0454322158687346,1.088092463993571
293,38334,2020-06-30,1.015676028774188,1.0026855714212788,1.0293483977521733
293,36017,2020-06-30,1.0163914233264983,0.9969606468666506,1.0359085818880633
293,60043,2020-06-30,1.0083831697000798,0.9874164080394787,1.0301631730163128
293,93424,2020-06-30,1.0164896080229946,0.9917017636033569,1.0398791926623392
293,92561,2020-06-30,1.0359836227284214,1.004196638311184,1.071212354427795
293,1542,2020-06-30,0.9926032778336935,0.9765664975698389,1.0093579070118477
293,15639,2020-06-30,1.0211718947444492,1.002145029674814,1.040642561457444
293,66087,2020-06-30,1.0222474811443654,0.9941387761981709,1.0550507740674089
293,97499,2020-06-30,0.9987133681409854,0.9746141341142713,1.0214250331669092
293,85236,2020-06-30,1.020087155985691,0.9856354587910376,1.0522685906315827
293,62865,2020-06-30,1.0034224063369246,0.9634568031431562,1.0426899434437158
293,15322,2020-06-30,1.081129374276384,0.9694862364626627,1.1850079309896837
293,49271,2020-06-30,1.0222174466753502,1.0094432206088042,1.0361875317504654
293,12575,2020-06-30,1.0011709622651752,0.9725496494424064,1.0295060575005455
293,63673,2020-06-30,1.0157878627286299,0.9997329132892098,1.0330912608266476
293,17965,2020-06-30,0.9733510093008365,0.9170076507985523,1.0248929203533526
293,22027,2020-06-30,1.0130926720316915,0.9959730384529654,1.029516581991885
293,83876,2020-06-30,1.0318255850582074,0.9930091544838862,1.0704104573747029
293,56284,2020-06-30,1.0299064515108658,1.0070940672350295,1.0554035585561405
293,54498,2020-06-30,1.0441204641581754,1.0283700645476446,1.0600503078786903
293,83245,2020-06-30,1.0246917972799723,1.003100394687162,1.045967115947993
293,74901,2020-06-30,1.0243997561385072,1.0007932609459604,1.0454683317647873
293,38641,2020-06-30,1.0388326133733716,1.0167242215389354,1.0588891667546698
293,81039,2020-06-30,1.048549278274418,1.0385008343744413,1.0581775490384089
293,22460,2020-06-30,1.0167727187721205,1.0021651925074673,1.0328462413202169
293,74038,2020-06-30,1.0206210031475806,0.9989583759884675,1.0424601624364305
293,23038,2020-06-30,1.0119316721835814,1.000771619949802,1.0224538025216758
293,55771,2020-06-30,1.041119161445661,1.0028906824925266,1.0811889544037816
293,38039,2020-06-30,1.0154513908229048,1.0028790728293424,1.030683410153583
293,13320,2020-06-30,1.0286472576683505,1.0147326554164797,1.0425718071325336
293,88046,2020-06-30,1.0222227117628662,0.973505848096853,1.0747581101864796
293,19534,2020-06-30,1.004743318662375,0.9831518518807654,1.0274782786971604
293,25136,2020-06-30,0.9492363585618858,0.9124647274089657,0.9860481790241132
293,56589,2020-06-30,1.0342810009555692,1.0222957778118051,1.0469711789093978
293,5251,2020-06-30,0.9876128413983776,0.9656028444788624,1.0113118387257025
293,4943,2020-06-30,0.9713032181977492,0.9452996232300424,1.0001499979174127
293,93513,2020-06-30,1.0261195109273236,1.0087193003247679,1.0437946082783542
293,69358,2020-06-30,1.0376367122966346,1.0274096874669016,1.0475402901219546
293,81527,2020-06-30,0.9985300886411005,0.9628533461792392,1.034803911842537
293,43716,2020-06-30,1.0541259900198903,1.0258688004483638,1.0811513073716772
293,5859,2020-06-30,1.016777886502292,0.9932416451462861,1.041430489133303
293,35974,2020-06-30,1.0023613350248382,0.9832438329727407,1.0224264132977483
293,7439,2020-06-30,0.9834636489293718,0.9505368374156654,1.0251003220463994
293,16341,2020-06-30,1.0144161772298481,1.0029820660295938,1.0265719590939941
293,96008,2020-06-30,1.043946544318232,0.9989163519099954,1.0828537759246029
293,12737,2020-06-30,1.0020903840793525,0.9710689610301706,1.0336209844820647
293,38240,2020-06-30,1.0277393765764695,1.017961384473825,1.0397713361754508
293,71061,2020-06-30,1.105219071641031,1.0369398980398714,1.169625209069946
293,21794,2020-06-30,1.0139883998826462,0.9936577942690197,1.0328382811796817
293,46058,2020-06-30,0.993460803240692,0.9781404887100873,1.008659546650329
