,Zip,ds,yhat,yhat_lower,yhat_upper
293,43322,2020-06-30,0.9990215354442176,0.9668920370471931,1.0300333621342739
293,53969,2020-06-30,1.0043510876877717,0.9888672204432202,1.0192236287967975
293,84334,2020-06-30,1.037891389608108,1.0224591710131015,1.0534638836280261
293,68040,2020-06-30,0.9850512949811064,0.9677788540449366,1.002948758317325
293,80025,2020-06-30,1.0507814984062098,1.028632905122371,1.0707001824861813
293,58210,2020-06-30,1.0738624190418151,1.0230711806258872,1.1226374679817412
293,50039,2020-06-30,1.018561304872351,0.9939275472828925,1.0396108882948272
293,42326,2020-06-30,1.0017291384398244,0.9912430286705967,1.0131968547797245
293,12465,2020-06-30,0.9378313702122607,0.8705601833816536,1.001487934257525
293,59927,2020-06-30,1.0133468618656123,0.9913475609916402,1.0351066760386143
293,23023,2020-06-30,1.036088034914566,1.0257310547706717,1.0472536589693926
293,82441,2020-06-30,1.029452336459632,1.0160297770339861,1.0430268687259636
293,26438,2020-06-30,1.0425230065597202,1.0268121610112906,1.0582178593207643
293,15674,2020-06-30,1.0379308287499813,0.9877853748579888,1.0902873648233946
293,98859,2020-06-30,1.0652230086619545,1.0140310624037723,1.112514178970865
293,97369,2020-06-30,1.0095255315190808,0.9777731990550707,1.040512995270451
293,57374,2020-06-30,1.101951876455134,1.0563330083413103,1.153080511631861
293,76474,2020-06-30,1.0466850362344486,1.034116525357873,1.0591898016921333
293,24985,2020-06-30,1.0102376649658378,0.9919883230221819,1.0299576403360164
293,84023,2020-06-30,1.0483105539465107,1.0251336620572118,1.0670804367639886
293,5858,2020-06-30,1.0108106081795496,0.9852889642925086,1.0356103677441446
293,12041,2020-06-30,0.9825921006330145,0.9500721187540749,1.0147409635141982
293,74456,2020-06-30,1.0111366632559717,0.9840721147262353,1.0398366163118002
293,19931,2020-06-30,1.0112151353776144,0.9558072194096802,1.0665824181268777
293,40316,2020-06-30,1.0360646257377089,1.024646718847417,1.0487369297425335
293,80622,2020-06-30,0.9951643189896828,0.9472900677944368,1.0454229653358036
293,98562,2020-06-30,1.0177674113285544,0.9701967368965587,1.0663034291014342
293,42741,2020-06-30,0.9899132373077943,0.9679272440800578,1.0109921083705495
293,67520,2020-06-30,0.9101019871364235,0.8111298776780046,1.0109003290277807
293,56722,2020-06-30,1.047092130480842,1.0309350757836169,1.0629143171178383
293,87940,2020-06-30,1.1440659775020912,1.065777643659058,1.2272812789072387
293,12407,2020-06-30,1.0010879351748019,0.9881578985541406,1.0141757591876102
293,68453,2020-06-30,1.0253791962679393,1.0018422694966322,1.0492763965561807
